"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-","GP","G","A2","KP","AT","SOT","TkW","DIS","ErG","YC","RC","AP","PC%","SFTP","ACNC","Int","CLR","CoS","AER","PKM","OG","GAD","CSD","CSM"
"Andreas Christensen","CHE","D","269","FA","SOU Sun 3:00AM","7.25","2.42","0%","-9.4%","3","0","0","0","0","0","1","1","0","1","1","186","91.2","11","0","7","8","0","6","0","0","4","0","0"
"Toby Alderweireld","TOT","D","270","FA","WHU Mon 4:30AM","7","7","47%","+1.3%","1","0","0","1","0","0","0","0","0","0","0","68","86.1","6","0","1","1","1","3","0","0","1","0","0"
"Bernardo Silva","MCI","M,F","271","BS420FC","ARS Sun 5:30AM","6.5","6.5","100%","+0.7%","1","0","0","1","0","0","0","0","0","0","0","13","86.7","9","0","0","0","2","0","0","0","0","0","0"
"Takumi Minamino","LIV","F","272","FA","@EVE Sun 12:30AM","6.5","2.17","13%","+0.8%","3","0","0","0","0","0","1","1","0","0","0","17","68.0","5","0","1","0","3","1","0","0","0","0","0"
"Fabian Delph","EVE","M","273","FA","LIV Sun 12:30AM","6","6","0%","-0.7%","1","0","0","0","0","0","1","0","0","0","0","17","89.5","3","0","1","3","0","0","0","0","0","0","0"
"Vitinha","WOL","M","274","FA","@LEE Tue 8:00AM","6","3","0%","-0.4%","2","0","0","1","0","0","0","0","0","0","0","27","93.1","6","0","0","0","2","0","0","0","0","0","0"
"Ruben Dias","MCI","D","275","FA","ARS Sun 5:30AM","5.75","5.75","80%","+24%","1","0","0","0","0","0","0","0","0","0","0","28","82.4","3","0","1","4","0","2","0","0","1","0","0"
"Billy Sharp","SHU","F","276","FA","FUL Sun 3:00AM","5.75","1.92","0%","-1%","3","0","0","0","0","1","0","3","0","0","0","18","75.0","8","0","0","0","1","4","0","0","0","0","0"
"Jay Rodriguez","BUR","F","277","FA","@WBA Sun 3:00AM","5.5","5.5","40%","+16.9%","1","0","0","1","0","0","0","1","0","1","0","9","69.2","4","0","0","3","1","4","0","0","0","0","0"
"Robbie Brady","BUR","M","278","FA","@WBA Sun 3:00AM","5.5","5.5","0%","-0.3%","1","0","0","0","0","1","1","0","0","0","0","7","58.3","0","0","1","1","0","1","0","0","0","0","0"
